"county_areas","region","date","month","year","quarter","homicide_uns","offences_against_the_person_uns","sexual_offences_uns","burglary_uns","robbery_uns","theft_and_handling_uns","fraud_and_forgery_uns","criminal_damage_uns","drugs_offences_uns","public_order_offences_uns","all_other_offences_uns","motoring_offences_uns","admin_finalised_uns"
"Kent","South East","2016-04-01","Apr",2016,"Q2_2016",0,61,14,3,5,19,12,5,4,4,3,31,23
"Lancashire","North West","2016-04-01","Apr",2016,"Q2_2016",2,87,2,8,4,18,2,17,5,16,1,48,13
"Leicestershire","East Midlands","2016-04-01","Apr",2016,"Q2_2016",2,49,8,7,2,9,1,2,6,10,0,20,5
"Lincolnshire","East Midlands","2016-04-01","Apr",2016,"Q2_2016",0,33,0,1,0,9,2,3,2,6,3,42,6
"Merseyside","Mersey-Cheshire","2016-04-01","Apr",2016,"Q2_2016",0,72,15,5,0,13,2,10,4,19,2,33,17
"Metropolitan and City","Greater London","2016-04-01","Apr",2016,"Q2_2016",5,739,72,61,23,173,50,63,97,152,35,349,211
"Norfolk","East of England","2016-04-01","Apr",2016,"Q2_2016",1,44,2,3,2,11,0,2,4,19,0,16,13
"Northamptonshire","East Midlands","2016-04-01","Apr",2016,"Q2_2016",0,41,1,4,0,6,2,6,1,4,0,25,11
"Northumbria","North East","2016-04-01","Apr",2016,"Q2_2016",0,128,25,8,0,28,3,21,7,52,6,40,7
"North Wales","Cymru/Wales","2016-04-01","Apr",2016,"Q2_2016",0,36,4,5,0,1,2,7,2,14,0,15,3
"North Yorkshire","Yorkshire and Humberside","2016-04-01","Apr",2016,"Q2_2016",0,30,1,8,0,8,2,3,4,5,0,7,6
"Nottinghamshire","East Midlands","2016-04-01","Apr",2016,"Q2_2016",0,97,15,5,7,15,4,15,3,16,2,28,11
"South Wales","Cymru/Wales","2016-04-01","Apr",2016,"Q2_2016",3,127,14,13,1,14,1,7,3,20,2,79,5
"South Yorkshire","Yorkshire and Humberside","2016-04-01","Apr",2016,"Q2_2016",0,68,0,10,4,12,4,15,5,14,0,17,14
"Staffordshire","West Midlands","2016-04-01","Apr",2016,"Q2_2016",1,48,6,3,1,10,0,14,4,4,1,49,9
"Suffolk","East of England","2016-04-01","Apr",2016,"Q2_2016",0,20,1,0,0,5,2,5,0,6,0,5,11
"Surrey","South East","2016-04-01","Apr",2016,"Q2_2016",0,35,13,1,1,9,1,5,1,8,0,6,13
"Sussex","South East","2016-04-01","Apr",2016,"Q2_2016",0,63,21,3,3,15,3,8,2,18,3,21,16
"Thames Valley","Thames and Chiltern","2016-04-01","Apr",2016,"Q2_2016",1,140,29,4,1,30,8,11,2,28,5,31,17
"Warwickshire","West Midlands","2016-04-01","Apr",2016,"Q2_2016",1,14,2,1,0,5,2,2,4,1,2,20,4
"West Mercia","West Midlands","2016-04-01","Apr",2016,"Q2_2016",0,50,13,3,5,10,4,3,5,4,2,32,8
"West Midlands","West Midlands","2016-04-01","Apr",2016,"Q2_2016",1,174,55,29,9,58,17,16,16,47,15,66,88
"West Yorkshire","Yorkshire and Humberside","2016-04-01","Apr",2016,"Q2_2016",1,116,12,13,2,20,6,14,30,20,11,49,33
"Wiltshire","Oxfordshire","2016-04-01","Apr",2016,"Q2_2016",0,10,4,0,0,7,2,2,4,1,0,5,5
"Avon and Somerset","South West","2016-05-01","May",2016,"Q2_2016",1,71,15,2,0,14,1,10,3,14,2,14,24
"Bedfordshire","Thames and Chiltern","2016-05-01","May",2016,"Q2_2016",0,20,5,3,0,8,2,2,2,3,0,28,10
"Cambridgeshire","East of England","2016-05-01","May",2016,"Q2_2016",0,33,3,0,0,5,1,6,0,3,0,6,12
"Cheshire","Mersey-Cheshire","2016-05-01","May",2016,"Q2_2016",0,55,10,1,3,10,0,5,6,16,1,20,11
"Cleveland","North East","2016-05-01","May",2016,"Q2_2016",0,28,0,2,0,22,3,9,7,10,0,13,11
"Cumbria","North West","2016-05-01","May",2016,"Q2_2016",0,14,0,1,0,3,0,2,0,5,0,10,2
"Derbyshire","East Midlands","2016-05-01","May",2016,"Q2_2016",0,46,0,5,1,28,3,7,3,8,3,27,16
"Devon and Cornwall","South West","2016-05-01","May",2016,"Q2_2016",0,49,0,3,3,7,2,2,5,6,2,28,12
"Dorset","Oxfordshire","2016-05-01","May",2016,"Q2_2016",0,20,1,2,0,6,4,2,3,3,1,9,14
"Durham","North East","2016-05-01","May",2016,"Q2_2016",0,14,0,2,0,6,1,6,1,6,6,2,3
"Dyfed Powys","Cymru/Wales","2016-05-01","May",2016,"Q2_2016",0,12,7,0,0,2,1,6,7,2,0,23,1
"Essex","East of England","2016-05-01","May",2016,"Q2_2016",4,84,16,11,1,28,3,12,3,8,0,27,15
"Gloucestershire","South West","2016-05-01","May",2016,"Q2_2016",0,14,1,0,0,0,0,1,0,4,0,7,9
"GreaterManchester","North West","2016-05-01","May",2016,"Q2_2016",3,136,47,4,4,22,9,16,9,20,7,63,22
"Gwent","Cymru/Wales","2016-05-01","May",2016,"Q2_2016",0,22,0,0,0,5,0,7,1,5,3,4,6
"Hampshire","Oxfordshire","2016-05-01","May",2016,"Q2_2016",1,45,10,3,2,8,4,7,5,6,3,26,9
"Hertfordshire","Thames and Chiltern","2016-05-01","May",2016,"Q2_2016",0,42,3,0,3,20,0,5,1,6,0,29,3
"Humberside","Yorkshire and Humberside","2016-05-01","May",2016,"Q2_2016",0,31,16,5,2,12,1,7,4,10,2,23,6
"Kent","South East","2016-05-01","May",2016,"Q2_2016",1,65,13,3,2,12,5,7,5,5,5,26,14
"Lancashire","North West","2016-05-01","May",2016,"Q2_2016",2,67,7,4,3,11,2,13,6,14,6,45,5
"Leicestershire","East Midlands","2016-05-01","May",2016,"Q2_2016",1,26,15,3,1,9,2,5,2,8,4,22,13
"Lincolnshire","East Midlands","2016-05-01","May",2016,"Q2_2016",0,32,0,0,1,11,3,5,4,10,8,24,9
"Merseyside","Mersey-Cheshire","2016-05-01","May",2016,"Q2_2016",0,61,10,2,1,10,2,13,15,10,0,22,18
"Metropolitan and City","Greater London","2016-05-01","May",2016,"Q2_2016",7,714,79,50,22,179,41,60,101,163,27,350,223
"Norfolk","East of England","2016-05-01","May",2016,"Q2_2016",0,44,1,0,2,12,5,6,0,14,0,4,9
"Northamptonshire","East Midlands","2016-05-01","May",2016,"Q2_2016",0,41,0,2,2,9,2,11,1,12,0,16,13
"Northumbria","North East","2016-05-01","May",2016,"Q2_2016",0,89,25,14,5,44,2,19,4,20,4,52,11
"North Wales","Cymru/Wales","2016-05-01","May",2016,"Q2_2016",0,36,9,0,0,3,2,2,0,7,1,18,3
"North Yorkshire","Yorkshire and Humberside","2016-05-01","May",2016,"Q2_2016",2,29,1,3,0,13,4,4,1,3,1,9,8
"Nottinghamshire","East Midlands","2016-05-01","May",2016,"Q2_2016",1,84,9,4,1,25,3,10,5,20,3,25,12
"South Wales","Cymru/Wales","2016-05-01","May",2016,"Q2_2016",1,118,14,11,3,14,2,6,4,14,1,57,9
"South Yorkshire","Yorkshire and Humberside","2016-05-01","May",2016,"Q2_2016",0,49,2,3,0,14,3,12,5,11,0,19,21
"Staffordshire","West Midlands","2016-05-01","May",2016,"Q2_2016",0,62,3,1,2,11,1,7,2,8,1,37,17
"Suffolk","East of England","2016-05-01","May",2016,"Q2_2016",0,16,3,1,2,7,1,0,0,2,0,4,9
"Surrey","South East","2016-05-01","May",2016,"Q2_2016",0,30,4,1,1,2,0,3,2,12,1,8,7
"Sussex","South East","2016-05-01","May",2016,"Q2_2016",0,47,15,3,1,11,2,2,4,9,1,12,14
"Thames Valley","Thames and Chiltern","2016-05-01","May",2016,"Q2_2016",1,142,21,10,2,28,4,8,9,30,2,49,30
"Warwickshire","West Midlands","2016-05-01","May",2016,"Q2_2016",0,16,2,1,1,5,3,3,0,4,0,20,7
"West Mercia","West Midlands","2016-05-01","May",2016,"Q2_2016",0,55,5,7,1,9,3,6,6,7,2,28,8
"West Midlands","West Midlands","2016-05-01","May",2016,"Q2_2016",2,174,23,14,16,33,10,16,11,67,9,60,54
"West Yorkshire","Yorkshire and Humberside","2016-05-01","May",2016,"Q2_2016",0,138,19,12,2,17,5,14,18,20,1,48,18
"Wiltshire","Oxfordshire","2016-05-01","May",2016,"Q2_2016",0,21,1,1,0,6,0,0,0,7,0,6,2
"Avon and Somerset","South West","2016-06-01","Jun",2016,"Q2_2016",0,65,20,5,3,19,1,9,15,14,1,28,21
"Bedfordshire","Thames and Chiltern","2016-06-01","Jun",2016,"Q2_2016",0,27,2,0,1,4,1,6,2,7,1,25,8
"Cambridgeshire","East of England","2016-06-01","Jun",2016,"Q2_2016",0,45,0,0,1,2,1,8,2,6,4,8,17
"Cheshire","Mersey-Cheshire","2016-06-01","Jun",2016,"Q2_2016",0,52,0,3,4,5,0,7,2,11,2,22,12
"Cleveland","North East","2016-06-01","Jun",2016,"Q2_2016",0,35,2,4,6,13,3,5,4,13,1,7,8
"Cumbria","North West","2016-06-01","Jun",2016,"Q2_2016",0,26,0,4,0,6,1,3,3,5,1,10,3
"Derbyshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",0,37,0,0,4,18,8,10,4,9,5,26,19
"Devon and Cornwall","South West","2016-06-01","Jun",2016,"Q2_2016",0,52,6,6,0,10,2,4,2,13,0,35,19
"Dorset","Oxfordshire","2016-06-01","Jun",2016,"Q2_2016",1,21,3,1,2,4,1,0,0,3,0,9,11
"Durham","North East","2016-06-01","Jun",2016,"Q2_2016",0,30,0,4,0,12,0,1,0,16,1,10,2
"Dyfed Powys","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",1,17,3,3,0,2,2,1,3,2,0,23,2
"Essex","East of England","2016-06-01","Jun",2016,"Q2_2016",0,101,15,7,4,25,1,8,6,10,4,30,21
"Gloucestershire","South West","2016-06-01","Jun",2016,"Q2_2016",0,18,1,1,1,4,1,5,0,0,0,4,7
"GreaterManchester","North West","2016-06-01","Jun",2016,"Q2_2016",1,168,25,13,4,12,5,15,8,25,3,69,32
"Gwent","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",0,24,4,6,1,6,0,5,3,6,0,21,8
"Hampshire","Oxfordshire","2016-06-01","Jun",2016,"Q2_2016",0,53,5,2,1,14,4,4,5,6,2,30,14
"Hertfordshire","Thames and Chiltern","2016-06-01","Jun",2016,"Q2_2016",0,45,1,2,2,15,3,8,8,6,2,25,15
"Humberside","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",0,29,12,5,1,5,4,4,2,7,2,17,12
"Kent","South East","2016-06-01","Jun",2016,"Q2_2016",1,64,11,4,0,15,4,10,8,13,4,21,29
"Lancashire","North West","2016-06-01","Jun",2016,"Q2_2016",1,82,0,11,2,16,4,6,5,17,6,44,4
"Leicestershire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",0,25,9,2,0,3,0,4,0,4,2,17,10
"Lincolnshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",0,37,0,5,1,7,0,2,2,9,8,30,6
"Merseyside","Mersey-Cheshire","2016-06-01","Jun",2016,"Q2_2016",0,75,18,3,1,10,2,6,17,8,3,26,20
"Metropolitan and City","Greater London","2016-06-01","Jun",2016,"Q2_2016",8,775,84,45,21,189,49,67,106,194,31,308,221
"Norfolk","East of England","2016-06-01","Jun",2016,"Q2_2016",1,38,0,3,1,9,0,6,2,8,0,5,13
"Northamptonshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",0,37,0,2,1,8,1,1,1,8,1,18,17
"Northumbria","North East","2016-06-01","Jun",2016,"Q2_2016",1,134,19,12,5,47,3,28,8,45,5,50,6
"North Wales","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",0,33,2,0,0,9,0,5,3,8,1,20,2
"North Yorkshire","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",0,25,1,1,0,7,1,0,4,4,2,7,6
"Nottinghamshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",0,69,12,9,3,27,4,14,6,16,2,33,20
"South Wales","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",0,124,10,6,0,14,4,9,5,13,2,75,12
"South Yorkshire","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",0,54,2,4,1,19,0,6,6,9,1,25,10
"Staffordshire","West Midlands","2016-06-01","Jun",2016,"Q2_2016",0,65,4,4,1,12,1,10,2,7,3,44,8
"Suffolk","East of England","2016-06-01","Jun",2016,"Q2_2016",0,16,1,1,0,3,0,3,0,3,1,4,6
"Surrey","South East","2016-06-01","Jun",2016,"Q2_2016",0,43,9,4,0,4,1,5,2,1,3,16,15
"Sussex","South East","2016-06-01","Jun",2016,"Q2_2016",0,46,17,9,3,11,0,9,5,8,0,12,13
"Thames Valley","Thames and Chiltern","2016-06-01","Jun",2016,"Q2_2016",1,108,21,9,1,25,6,14,2,25,2,32,20
"Warwickshire","West Midlands","2016-06-01","Jun",2016,"Q2_2016",0,19,1,1,1,2,1,2,0,3,0,36,6
"West Mercia","West Midlands","2016-06-01","Jun",2016,"Q2_2016",0,31,6,3,0,9,0,5,6,7,0,32,6
"West Midlands","West Midlands","2016-06-01","Jun",2016,"Q2_2016",5,201,33,14,8,42,12,13,14,62,17,76,57
"West Yorkshire","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",0,114,17,6,1,17,5,10,10,27,1,41,28
"Wiltshire","Oxfordshire","2016-06-01","Jun",2016,"Q2_2016",0,20,4,0,0,7,1,5,1,1,5,10,4
"Avon and Somerset","South West","2016-07-01","Jul",2016,"Q3_2016",6,89,10,3,1,13,3,7,2,10,2,32,35
"Bedfordshire","Thames and Chiltern","2016-07-01","Jul",2016,"Q3_2016",2,16,2,1,1,7,0,0,2,5,2,19,10
"Cambridgeshire","East of England","2016-07-01","Jul",2016,"Q3_2016",0,26,2,2,1,3,0,4,1,4,0,11,11
"Cheshire","Mersey-Cheshire","2016-07-01","Jul",2016,"Q3_2016",0,51,8,5,2,8,0,6,2,9,2,18,6
"Cleveland","North East","2016-07-01","Jul",2016,"Q3_2016",0,43,1,4,4,15,0,11,3,13,5,3,6
"Cumbria","North West","2016-07-01","Jul",2016,"Q3_2016",0,26,1,1,0,6,1,7,3,3,0,7,3
"Derbyshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,40,0,3,0,10,0,9,7,10,3,24,22
"Devon and Cornwall","South West","2016-07-01","Jul",2016,"Q3_2016",1,58,2,2,1,5,6,3,0,10,0,27,9
"Dorset","Oxfordshire","2016-07-01","Jul",2016,"Q3_2016",0,19,3,3,0,3,0,2,1,8,0,10,9
"Durham","North East","2016-07-01","Jul",2016,"Q3_2016",1,23,1,1,1,5,1,5,0,8,0,6,7
"Dyfed Powys","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",1,12,3,0,0,2,3,0,0,2,1,15,6
"Essex","East of England","2016-07-01","Jul",2016,"Q3_2016",0,72,14,5,6,18,5,10,4,9,4,43,28
"Gloucestershire","South West","2016-07-01","Jul",2016,"Q3_2016",0,18,0,2,0,3,0,1,0,11,0,3,4
"GreaterManchester","North West","2016-07-01","Jul",2016,"Q3_2016",0,127,35,6,7,16,7,5,19,15,3,91,31
"Gwent","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",0,17,4,1,0,6,0,5,2,1,1,10,1
"Hampshire","Oxfordshire","2016-07-01","Jul",2016,"Q3_2016",0,38,9,5,0,10,6,6,3,11,1,16,13
"Hertfordshire","Thames and Chiltern","2016-07-01","Jul",2016,"Q3_2016",1,32,2,0,2,17,2,2,2,11,1,27,12
"Humberside","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",0,31,12,9,3,3,0,7,2,5,1,10,9
"Kent","South East","2016-07-01","Jul",2016,"Q3_2016",0,67,9,4,0,14,6,8,8,7,12,23,23
"Lancashire","North West","2016-07-01","Jul",2016,"Q3_2016",0,87,1,6,3,14,3,9,8,12,7,47,6
"Leicestershire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,34,8,0,0,5,2,5,1,6,3,14,7
"Lincolnshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,41,0,0,4,10,2,5,1,14,9,36,12
"Merseyside","Mersey-Cheshire","2016-07-01","Jul",2016,"Q3_2016",0,53,8,3,1,5,9,7,9,12,2,23,15
"Metropolitan and City","Greater London","2016-07-01","Jul",2016,"Q3_2016",9,862,75,47,33,194,54,85,102,165,29,301,222
"Norfolk","East of England","2016-07-01","Jul",2016,"Q3_2016",0,34,2,3,0,7,2,6,0,6,2,4,12
"Northamptonshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,36,0,0,0,8,0,1,0,4,14,13,21
"Northumbria","North East","2016-07-01","Jul",2016,"Q3_2016",1,85,14,10,4,24,5,19,3,31,4,37,13
"North Wales","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",0,40,7,2,0,7,3,4,2,12,0,19,6
"North Yorkshire","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",0,32,0,2,0,10,4,4,5,6,0,15,10
"Nottinghamshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",1,63,7,11,3,20,6,8,9,19,4,26,26
"South Wales","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",0,124,9,7,1,20,4,14,10,22,1,78,11
"South Yorkshire","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",3,76,0,4,1,12,3,8,1,4,1,29,20
"Staffordshire","West Midlands","2016-07-01","Jul",2016,"Q3_2016",4,83,8,0,0,3,1,7,4,21,1,39,15
"Suffolk","East of England","2016-07-01","Jul",2016,"Q3_2016",0,19,4,1,0,6,2,2,1,8,1,2,15
"Surrey","South East","2016-07-01","Jul",2016,"Q3_2016",0,39,5,0,1,1,1,2,2,6,0,11,5
"Sussex","South East","2016-07-01","Jul",2016,"Q3_2016",2,62,16,3,8,13,5,8,5,9,3,17,12
"Thames Valley","Thames and Chiltern","2016-07-01","Jul",2016,"Q3_2016",0,122,22,6,1,22,6,6,5,22,3,28,15
"Warwickshire","West Midlands","2016-07-01","Jul",2016,"Q3_2016",0,13,1,1,0,6,4,4,2,2,1,14,2
"West Mercia","West Midlands","2016-07-01","Jul",2016,"Q3_2016",0,41,11,6,1,16,1,8,4,13,1,45,3
"West Midlands","West Midlands","2016-07-01","Jul",2016,"Q3_2016",2,209,25,14,8,44,15,12,15,57,3,77,75
"West Yorkshire","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",1,120,20,8,5,20,5,13,7,26,1,43,32
"Wiltshire","Oxfordshire","2016-07-01","Jul",2016,"Q3_2016",0,7,2,0,0,6,2,2,3,5,0,4,3
"Avon and Somerset","South West","2016-08-01","Aug",2016,"Q3_2016",0,51,20,4,0,19,0,9,14,12,5,29,25
"Bedfordshire","Thames and Chiltern","2016-08-01","Aug",2016,"Q3_2016",0,25,1,2,1,6,1,4,3,2,0,17,10
"Cambridgeshire","East of England","2016-08-01","Aug",2016,"Q3_2016",1,31,3,1,4,9,1,5,1,5,0,7,14
"Cheshire","Mersey-Cheshire","2016-08-01","Aug",2016,"Q3_2016",0,61,9,1,0,12,1,4,4,13,1,26,5
"Cleveland","North East","2016-08-01","Aug",2016,"Q3_2016",0,41,0,9,0,8,0,10,7,7,5,6,6
"Cumbria","North West","2016-08-01","Aug",2016,"Q3_2016",0,14,0,2,0,6,1,7,0,2,0,3,2
"Derbyshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,36,0,3,2,8,2,6,5,11,4,32,14
"Devon and Cornwall","South West","2016-08-01","Aug",2016,"Q3_2016",1,50,1,7,0,5,2,3,5,10,0,27,6
"Dorset","Oxfordshire","2016-08-01","Aug",2016,"Q3_2016",0,26,2,2,1,5,0,4,0,4,0,11,17
"Durham","North East","2016-08-01","Aug",2016,"Q3_2016",0,25,0,1,1,6,1,2,0,4,1,4,8
"Dyfed Powys","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",0,12,2,1,0,2,1,3,4,1,0,18,1
"Essex","East of England","2016-08-01","Aug",2016,"Q3_2016",0,89,22,4,3,29,6,5,4,15,1,36,24
"Gloucestershire","South West","2016-08-01","Aug",2016,"Q3_2016",0,33,1,0,1,4,1,3,2,4,1,5,10
"GreaterManchester","North West","2016-08-01","Aug",2016,"Q3_2016",0,135,37,5,6,16,1,12,9,20,4,60,36
"Gwent","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",0,20,4,2,1,4,0,9,3,0,2,11,4
"Hampshire","Oxfordshire","2016-08-01","Aug",2016,"Q3_2016",0,45,7,1,1,6,2,3,4,8,2,15,30
"Hertfordshire","Thames and Chiltern","2016-08-01","Aug",2016,"Q3_2016",1,51,2,3,0,9,2,10,6,8,3,26,10
"Humberside","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,35,11,6,1,9,0,1,4,7,2,18,10
"Kent","South East","2016-08-01","Aug",2016,"Q3_2016",0,66,12,6,3,16,3,3,4,9,1,23,16
"Lancashire","North West","2016-08-01","Aug",2016,"Q3_2016",0,51,2,5,1,16,1,10,5,23,1,38,6
"Leicestershire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,36,6,5,0,5,1,7,0,2,5,32,7
"Lincolnshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,31,0,3,0,17,1,4,0,10,6,19,7
"Merseyside","Mersey-Cheshire","2016-08-01","Aug",2016,"Q3_2016",0,66,3,0,1,12,0,7,9,9,3,30,7
"Metropolitan and City","Greater London","2016-08-01","Aug",2016,"Q3_2016",5,821,65,49,26,189,51,73,93,153,17,298,190
"Norfolk","East of England","2016-08-01","Aug",2016,"Q3_2016",0,45,1,0,0,9,0,6,0,10,3,12,12
"Northamptonshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,27,1,0,0,4,1,2,0,4,1,13,11
"Northumbria","North East","2016-08-01","Aug",2016,"Q3_2016",1,96,14,14,2,38,4,17,10,36,3,43,9
"North Wales","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",0,37,2,3,1,8,4,6,3,6,1,13,8
"North Yorkshire","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,31,1,9,0,6,4,6,0,8,0,5,8
"Nottinghamshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,74,10,4,3,14,3,13,13,13,2,21,40
"South Wales","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",2,149,8,11,3,14,1,11,4,14,5,51,11
"South Yorkshire","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,63,1,3,1,12,1,10,5,9,1,24,25
"Staffordshire","West Midlands","2016-08-01","Aug",2016,"Q3_2016",0,70,7,4,1,13,0,15,0,9,3,37,8
"Suffolk","East of England","2016-08-01","Aug",2016,"Q3_2016",0,19,2,1,0,7,1,1,1,8,0,5,7
"Surrey","South East","2016-08-01","Aug",2016,"Q3_2016",0,32,1,1,0,2,0,2,1,6,0,7,9
"Sussex","South East","2016-08-01","Aug",2016,"Q3_2016",0,63,17,2,3,4,4,9,4,14,5,16,13
"Thames Valley","Thames and Chiltern","2016-08-01","Aug",2016,"Q3_2016",1,137,28,12,5,17,6,22,5,24,1,49,19
"Warwickshire","West Midlands","2016-08-01","Aug",2016,"Q3_2016",0,20,3,0,0,4,1,5,0,4,0,23,6
"West Mercia","West Midlands","2016-08-01","Aug",2016,"Q3_2016",2,47,6,2,2,14,1,10,5,8,1,29,13
"West Midlands","West Midlands","2016-08-01","Aug",2016,"Q3_2016",1,164,32,11,9,37,15,13,15,41,14,62,76
"West Yorkshire","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,127,15,6,5,16,5,28,11,17,0,43,27
"Wiltshire","Oxfordshire","2016-08-01","Aug",2016,"Q3_2016",0,12,3,4,0,3,1,1,4,6,0,8,4
"Avon and Somerset","South West","2016-09-01","Sep",2016,"Q3_2016",0,66,14,4,0,19,1,7,1,15,1,32,32
"Bedfordshire","Thames and Chiltern","2016-09-01","Sep",2016,"Q3_2016",0,26,0,2,2,7,1,4,1,1,5,18,13
"Cambridgeshire","East of England","2016-09-01","Sep",2016,"Q3_2016",0,29,2,2,1,12,2,3,2,14,5,10,9
"Cheshire","Mersey-Cheshire","2016-09-01","Sep",2016,"Q3_2016",0,65,10,1,0,7,1,5,5,14,1,14,7
"Cleveland","North East","2016-09-01","Sep",2016,"Q3_2016",0,41,1,3,3,16,0,11,7,7,2,12,11
"Cumbria","North West","2016-09-01","Sep",2016,"Q3_2016",0,15,2,0,0,4,0,2,0,6,1,9,2
"Derbyshire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",0,48,0,7,1,15,3,6,3,4,0,24,17
"Devon and Cornwall","South West","2016-09-01","Sep",2016,"Q3_2016",1,35,2,2,0,5,3,3,3,7,2,10,10
"Dorset","Oxfordshire","2016-09-01","Sep",2016,"Q3_2016",0,26,3,4,1,1,2,6,0,4,1,10,8
"Durham","North East","2016-09-01","Sep",2016,"Q3_2016",0,33,0,0,0,5,0,2,0,6,0,9,5
"Dyfed Powys","Cymru/Wales","2016-09-01","Sep",2016,"Q3_2016",0,18,4,0,0,3,2,3,3,3,1,16,2
"Essex","East of England","2016-09-01","Sep",2016,"Q3_2016",0,84,15,4,1,20,8,7,6,16,2,27,22
"Gloucestershire","South West","2016-09-01","Sep",2016,"Q3_2016",0,16,1,2,0,2,1,0,4,3,0,5,12
"GreaterManchester","North West","2016-09-01","Sep",2016,"Q3_2016",0,127,30,7,4,21,6,13,8,16,16,79,20
"Gwent","Cymru/Wales","2016-09-01","Sep",2016,"Q3_2016",0,17,5,2,0,4,3,5,4,7,1,11,6
"Hampshire","Oxfordshire","2016-09-01","Sep",2016,"Q3_2016",0,35,6,3,1,15,3,8,7,9,2,18,4
"Hertfordshire","Thames and Chiltern","2016-09-01","Sep",2016,"Q3_2016",1,46,0,4,0,16,4,8,3,8,1,25,14
"Humberside","Yorkshire and Humberside","2016-09-01","Sep",2016,"Q3_2016",0,29,16,5,2,10,0,4,4,4,2,28,10
"Kent","South East","2016-09-01","Sep",2016,"Q3_2016",2,68,12,6,0,9,3,7,5,16,4,27,21
"Lancashire","North West","2016-09-01","Sep",2016,"Q3_2016",0,61,1,8,1,11,1,21,10,5,3,40,12
"Leicestershire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",0,33,5,3,0,7,2,8,3,5,4,20,11
"Lincolnshire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",0,31,0,1,0,5,2,7,0,5,7,21,8
"Merseyside","Mersey-Cheshire","2016-09-01","Sep",2016,"Q3_2016",0,94,3,4,1,17,5,8,17,11,5,23,14
"Metropolitan and City","Greater London","2016-09-01","Sep",2016,"Q3_2016",4,834,84,47,35,220,50,68,111,165,30,317,227
"Norfolk","East of England","2016-09-01","Sep",2016,"Q3_2016",0,32,2,2,0,5,1,3,1,6,8,3,4
"Northamptonshire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",0,30,0,0,4,2,2,7,0,5,1,15,13
"Northumbria","North East","2016-09-01","Sep",2016,"Q3_2016",0,116,29,5,1,29,3,12,6,31,4,40,25
"North Wales","Cymru/Wales","2016-09-01","Sep",2016,"Q3_2016",0,38,2,1,1,8,1,5,1,4,1,17,4
"North Yorkshire","Yorkshire and Humberside","2016-09-01","Sep",2016,"Q3_2016",0,35,2,2,0,14,3,2,3,6,2,8,8
"Nottinghamshire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",0,74,14,4,1,15,3,9,11,13,4,26,27
"South Wales","Cymru/Wales","2016-09-01","Sep",2016,"Q3_2016",0,137,14,6,4,22,1,10,8,9,5,64,21
"South Yorkshire","Yorkshire and Humberside","2016-09-01","Sep",2016,"Q3_2016",0,51,2,2,3,14,3,9,2,9,2,24,22
