"county_areas","region","date","month","year","quarter","homicide_con","offences_against_the_person_con","sexual_offences_con","burglary_con","robbery_con","theft_and_handling_con","fraud_and_forgery_con","criminal_damage_con","drugs_offences_con","public_order_offences_con","all_other_offences_con","motoring_offences_con"
"Surrey","South East","2016-01-01","Jan",2016,"Q1_2016",0,160,17,12,3,62,10,18,36,18,2,105
"Sussex","South East","2016-01-01","Jan",2016,"Q1_2016",1,265,39,23,9,169,19,44,86,72,10,200
"Thames Valley","Thames and Chiltern","2016-01-01","Jan",2016,"Q1_2016",3,482,44,56,14,358,28,72,197,114,28,310
"Warwickshire","West Midlands","2016-01-01","Jan",2016,"Q1_2016",1,65,6,10,0,50,5,7,20,32,7,98
"West Mercia","West Midlands","2016-01-01","Jan",2016,"Q1_2016",1,231,18,28,3,126,13,38,65,74,12,248
"West Midlands","West Midlands","2016-01-01","Jan",2016,"Q1_2016",7,727,66,68,44,632,102,132,283,278,80,349
"West Yorkshire","Yorkshire and Humberside","2016-01-01","Jan",2016,"Q1_2016",5,472,48,72,18,313,40,98,135,121,19,287
"Wiltshire","Oxfordshire","2016-01-01","Jan",2016,"Q1_2016",1,113,10,7,3,81,13,19,27,30,4,92
"Avon and Somerset","South West","2016-04-01","Apr",2016,"Q2_2016",2,275,37,25,12,200,34,63,97,70,11,196
"Bedfordshire","Thames and Chiltern","2016-04-01","Apr",2016,"Q2_2016",0,89,12,10,6,71,10,13,29,15,7,92
"Cambridgeshire","East of England","2016-04-01","Apr",2016,"Q2_2016",2,151,17,19,5,120,9,23,30,34,14,109
"Cheshire","Mersey-Cheshire","2016-04-01","Apr",2016,"Q2_2016",1,280,27,26,6,174,26,37,116,111,13,156
"Cleveland","North East","2016-04-01","Apr",2016,"Q2_2016",1,121,6,29,2,238,8,38,54,60,6,79
"Cumbria","North West","2016-04-01","Apr",2016,"Q2_2016",0,116,6,6,1,73,6,28,39,42,12,81
"Derbyshire","East Midlands","2016-04-01","Apr",2016,"Q2_2016",0,242,3,14,9,170,21,61,56,58,24,112
"Devon and Cornwall","South West","2016-04-01","Apr",2016,"Q2_2016",4,267,18,28,3,102,19,30,73,51,9,204
"Dorset","Oxfordshire","2016-04-01","Apr",2016,"Q2_2016",1,142,11,12,0,103,9,26,54,49,10,97
"Durham","North East","2016-04-01","Apr",2016,"Q2_2016",0,144,4,23,2,117,6,30,29,34,12,101
"Dyfed Powys","Cymru/Wales","2016-04-01","Apr",2016,"Q2_2016",2,67,7,5,2,42,3,12,48,33,4,80
"Essex","East of England","2016-04-01","Apr",2016,"Q2_2016",6,346,48,25,9,188,27,62,91,70,20,204
"Gloucestershire","South West","2016-04-01","Apr",2016,"Q2_2016",3,79,4,13,1,70,6,13,26,12,2,65
"GreaterManchester","North West","2016-04-01","Apr",2016,"Q2_2016",5,604,112,61,16,318,34,91,152,160,48,387
"Gwent","Cymru/Wales","2016-04-01","Apr",2016,"Q2_2016",0,122,11,13,3,97,5,21,58,25,5,84
"Hampshire","Oxfordshire","2016-04-01","Apr",2016,"Q2_2016",4,269,41,34,6,176,17,39,85,61,16,213
"Hertfordshire","Thames and Chiltern","2016-04-01","Apr",2016,"Q2_2016",1,221,17,21,5,220,39,36,71,53,11,157
"Humberside","Yorkshire and Humberside","2016-04-01","Apr",2016,"Q2_2016",3,152,28,29,10,184,11,47,61,74,16,121
"Kent","South East","2016-04-01","Apr",2016,"Q2_2016",11,244,22,44,10,157,39,31,63,53,10,170
"Lancashire","North West","2016-04-01","Apr",2016,"Q2_2016",3,330,24,42,11,271,34,63,100,135,27,283
"Leicestershire","East Midlands","2016-04-01","Apr",2016,"Q2_2016",6,173,25,22,5,90,15,33,37,52,12,147
"Lincolnshire","East Midlands","2016-04-01","Apr",2016,"Q2_2016",0,166,5,22,3,102,9,24,37,46,6,124
"Merseyside","Mersey-Cheshire","2016-04-01","Apr",2016,"Q2_2016",2,356,46,24,10,236,25,49,189,120,13,219
"Metropolitan and City","Greater London","2016-04-01","Apr",2016,"Q2_2016",20,1814,161,240,83,1119,260,267,1166,530,152,1009
"Norfolk","East of England","2016-04-01","Apr",2016,"Q2_2016",0,193,13,14,6,121,12,48,52,69,11,111
"Northamptonshire","East Midlands","2016-04-01","Apr",2016,"Q2_2016",1,125,6,17,6,75,12,26,35,33,5,95
"Northumbria","North East","2016-04-01","Apr",2016,"Q2_2016",4,339,57,54,12,331,31,62,96,146,15,243
"North Wales","Cymru/Wales","2016-04-01","Apr",2016,"Q2_2016",1,173,14,10,2,128,10,35,48,47,7,81
"North Yorkshire","Yorkshire and Humberside","2016-04-01","Apr",2016,"Q2_2016",1,116,7,10,8,108,7,23,51,44,9,107
"Nottinghamshire","East Midlands","2016-04-01","Apr",2016,"Q2_2016",2,258,36,30,7,262,25,46,98,90,25,139
"South Wales","Cymru/Wales","2016-04-01","Apr",2016,"Q2_2016",5,397,27,51,5,294,17,50,204,137,19,299
"South Yorkshire","Yorkshire and Humberside","2016-04-01","Apr",2016,"Q2_2016",1,197,3,25,8,289,11,55,88,87,26,171
"Staffordshire","West Midlands","2016-04-01","Apr",2016,"Q2_2016",4,221,24,16,5,157,14,50,61,67,15,164
"Suffolk","East of England","2016-04-01","Apr",2016,"Q2_2016",0,119,7,9,1,81,8,19,41,39,4,77
"Surrey","South East","2016-04-01","Apr",2016,"Q2_2016",0,149,9,7,6,59,8,19,42,24,6,122
"Sussex","South East","2016-04-01","Apr",2016,"Q2_2016",1,278,25,27,3,205,20,30,83,53,16,180
"Thames Valley","Thames and Chiltern","2016-04-01","Apr",2016,"Q2_2016",2,421,54,44,5,292,45,52,141,114,25,276
"Warwickshire","West Midlands","2016-04-01","Apr",2016,"Q2_2016",1,81,8,8,3,53,7,9,21,19,5,95
"West Mercia","West Midlands","2016-04-01","Apr",2016,"Q2_2016",0,173,35,16,1,180,23,35,64,68,22,200
"West Midlands","West Midlands","2016-04-01","Apr",2016,"Q2_2016",14,810,76,93,40,659,109,109,259,316,82,395
"West Yorkshire","Yorkshire and Humberside","2016-04-01","Apr",2016,"Q2_2016",11,509,43,48,19,338,33,95,199,127,25,282
"Wiltshire","Oxfordshire","2016-04-01","Apr",2016,"Q2_2016",0,126,13,12,2,76,11,25,39,30,10,71
"Avon and Somerset","South West","2016-05-01","May",2016,"Q2_2016",2,254,48,37,10,188,25,52,71,59,10,160
"Bedfordshire","Thames and Chiltern","2016-05-01","May",2016,"Q2_2016",1,83,7,5,4,62,5,11,23,31,3,86
"Cambridgeshire","East of England","2016-05-01","May",2016,"Q2_2016",1,103,11,7,0,71,7,18,35,28,12,80
"Cheshire","Mersey-Cheshire","2016-05-01","May",2016,"Q2_2016",2,254,22,24,7,155,14,35,89,83,13,176
"Cleveland","North East","2016-05-01","May",2016,"Q2_2016",0,127,4,39,4,203,10,23,46,46,6,65
"Cumbria","North West","2016-05-01","May",2016,"Q2_2016",0,103,6,8,5,101,1,27,37,36,8,76
"Derbyshire","East Midlands","2016-05-01","May",2016,"Q2_2016",1,188,6,9,8,135,12,57,72,54,16,115
"Devon and Cornwall","South West","2016-05-01","May",2016,"Q2_2016",5,199,24,18,4,98,18,36,59,64,5,187
"Dorset","Oxfordshire","2016-05-01","May",2016,"Q2_2016",1,136,7,12,0,103,5,23,49,45,6,81
"Durham","North East","2016-05-01","May",2016,"Q2_2016",0,102,5,23,1,104,8,35,19,44,7,113
"Dyfed Powys","Cymru/Wales","2016-05-01","May",2016,"Q2_2016",1,62,5,4,0,34,10,7,63,20,6,93
"Essex","East of England","2016-05-01","May",2016,"Q2_2016",5,246,40,33,6,172,20,55,75,73,12,184
"Gloucestershire","South West","2016-05-01","May",2016,"Q2_2016",1,88,4,10,0,57,6,17,19,15,1,57
"GreaterManchester","North West","2016-05-01","May",2016,"Q2_2016",4,590,97,61,19,321,38,95,140,182,34,314
"Gwent","Cymru/Wales","2016-05-01","May",2016,"Q2_2016",0,75,9,8,1,73,2,23,45,21,6,89
"Hampshire","Oxfordshire","2016-05-01","May",2016,"Q2_2016",3,250,36,30,6,203,23,35,65,59,21,223
"Hertfordshire","Thames and Chiltern","2016-05-01","May",2016,"Q2_2016",1,172,9,21,3,155,34,21,72,31,18,131
"Humberside","Yorkshire and Humberside","2016-05-01","May",2016,"Q2_2016",0,150,28,37,5,179,9,38,48,89,9,99
"Kent","South East","2016-05-01","May",2016,"Q2_2016",7,247,23,38,13,154,25,29,93,62,25,195
"Lancashire","North West","2016-05-01","May",2016,"Q2_2016",6,255,28,33,6,257,20,62,86,149,29,249
"Leicestershire","East Midlands","2016-05-01","May",2016,"Q2_2016",6,148,32,18,1,113,8,33,39,34,7,123
"Lincolnshire","East Midlands","2016-05-01","May",2016,"Q2_2016",1,160,4,20,0,136,5,26,28,48,14,131
"Merseyside","Mersey-Cheshire","2016-05-01","May",2016,"Q2_2016",3,301,26,18,14,192,14,42,186,87,18,203
"Metropolitan and City","Greater London","2016-05-01","May",2016,"Q2_2016",27,1704,129,188,96,1027,242,248,1082,502,150,1081
"Norfolk","East of England","2016-05-01","May",2016,"Q2_2016",5,192,9,14,0,110,4,36,41,63,9,87
"Northamptonshire","East Midlands","2016-05-01","May",2016,"Q2_2016",0,134,3,6,7,92,11,17,37,26,6,108
"Northumbria","North East","2016-05-01","May",2016,"Q2_2016",1,296,48,34,5,384,31,85,93,190,31,235
"North Wales","Cymru/Wales","2016-05-01","May",2016,"Q2_2016",0,158,20,14,1,116,9,39,34,47,6,110
"North Yorkshire","Yorkshire and Humberside","2016-05-01","May",2016,"Q2_2016",2,124,8,16,5,126,13,26,36,64,10,110
"Nottinghamshire","East Midlands","2016-05-01","May",2016,"Q2_2016",6,281,28,34,6,234,14,44,107,85,13,161
"South Wales","Cymru/Wales","2016-05-01","May",2016,"Q2_2016",2,334,16,30,5,241,30,75,134,120,15,260
"South Yorkshire","Yorkshire and Humberside","2016-05-01","May",2016,"Q2_2016",4,202,8,34,10,255,16,64,97,95,15,163
"Staffordshire","West Midlands","2016-05-01","May",2016,"Q2_2016",1,216,18,14,3,146,11,58,72,72,20,172
"Suffolk","East of England","2016-05-01","May",2016,"Q2_2016",0,117,5,12,7,62,1,30,36,32,4,98
"Surrey","South East","2016-05-01","May",2016,"Q2_2016",0,127,7,16,3,72,10,24,38,40,12,108
"Sussex","South East","2016-05-01","May",2016,"Q2_2016",0,239,24,41,8,165,21,37,67,63,10,177
"Thames Valley","Thames and Chiltern","2016-05-01","May",2016,"Q2_2016",8,396,45,50,17,303,32,54,149,115,37,242
"Warwickshire","West Midlands","2016-05-01","May",2016,"Q2_2016",6,91,10,13,1,59,7,12,12,14,1,81
"West Mercia","West Midlands","2016-05-01","May",2016,"Q2_2016",2,200,31,21,3,164,15,38,71,66,12,191
"West Midlands","West Midlands","2016-05-01","May",2016,"Q2_2016",10,627,74,56,44,607,85,90,246,263,61,358
"West Yorkshire","Yorkshire and Humberside","2016-05-01","May",2016,"Q2_2016",6,446,83,78,30,329,38,113,167,163,44,333
"Wiltshire","Oxfordshire","2016-05-01","May",2016,"Q2_2016",0,99,10,9,6,73,6,23,22,20,10,66
"Avon and Somerset","South West","2016-06-01","Jun",2016,"Q2_2016",3,301,61,27,4,240,11,56,111,75,9,203
"Bedfordshire","Thames and Chiltern","2016-06-01","Jun",2016,"Q2_2016",4,99,3,12,12,71,7,23,38,23,5,94
"Cambridgeshire","East of England","2016-06-01","Jun",2016,"Q2_2016",0,158,16,8,13,99,10,39,28,34,11,98
"Cheshire","Mersey-Cheshire","2016-06-01","Jun",2016,"Q2_2016",1,258,23,15,5,169,14,39,85,100,10,191
"Cleveland","North East","2016-06-01","Jun",2016,"Q2_2016",7,126,9,26,29,228,11,31,67,43,12,89
"Cumbria","North West","2016-06-01","Jun",2016,"Q2_2016",0,125,4,17,0,87,10,26,37,57,9,83
"Derbyshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",1,216,5,17,9,130,9,40,51,85,22,143
"Devon and Cornwall","South West","2016-06-01","Jun",2016,"Q2_2016",7,234,17,16,6,108,14,43,63,59,5,208
"Dorset","Oxfordshire","2016-06-01","Jun",2016,"Q2_2016",1,145,6,12,2,92,10,26,47,33,7,89
"Durham","North East","2016-06-01","Jun",2016,"Q2_2016",0,112,7,20,4,134,11,32,15,30,4,95
"Dyfed Powys","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",0,75,9,8,2,30,12,18,62,27,6,93
"Essex","East of England","2016-06-01","Jun",2016,"Q2_2016",2,334,37,31,6,187,18,70,73,53,17,226
"Gloucestershire","South West","2016-06-01","Jun",2016,"Q2_2016",2,86,9,21,1,50,5,11,25,21,6,63
"GreaterManchester","North West","2016-06-01","Jun",2016,"Q2_2016",4,574,87,88,22,271,23,88,102,153,37,345
"Gwent","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",0,101,11,11,1,77,15,30,47,30,5,92
"Hampshire","Oxfordshire","2016-06-01","Jun",2016,"Q2_2016",2,288,38,29,7,165,33,42,86,68,18,244
"Hertfordshire","Thames and Chiltern","2016-06-01","Jun",2016,"Q2_2016",2,171,7,16,5,159,40,29,84,45,9,123
"Humberside","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",1,175,30,22,8,151,7,55,57,66,13,119
"Kent","South East","2016-06-01","Jun",2016,"Q2_2016",3,250,25,31,6,157,42,44,105,47,15,212
"Lancashire","North West","2016-06-01","Jun",2016,"Q2_2016",2,311,26,39,13,233,17,53,107,130,25,240
"Leicestershire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",1,136,21,8,2,88,15,27,27,39,8,118
"Lincolnshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",1,112,9,17,6,112,7,43,38,56,18,155
"Merseyside","Mersey-Cheshire","2016-06-01","Jun",2016,"Q2_2016",3,345,38,34,8,182,23,67,205,99,26,194
"Metropolitan and City","Greater London","2016-06-01","Jun",2016,"Q2_2016",26,1827,169,205,84,1087,263,265,1156,494,135,1010
"Norfolk","East of England","2016-06-01","Jun",2016,"Q2_2016",0,186,11,17,0,136,8,44,38,70,11,120
"Northamptonshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",3,115,4,7,1,89,6,24,35,30,11,128
"Northumbria","North East","2016-06-01","Jun",2016,"Q2_2016",1,337,55,49,9,355,23,81,89,192,22,254
"North Wales","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",0,150,22,26,2,110,7,29,47,94,10,134
"North Yorkshire","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",0,118,5,15,1,135,8,31,39,40,9,134
"Nottinghamshire","East Midlands","2016-06-01","Jun",2016,"Q2_2016",1,280,33,19,17,266,15,51,109,87,18,165
"South Wales","Cymru/Wales","2016-06-01","Jun",2016,"Q2_2016",3,356,26,25,11,223,30,66,112,126,21,216
"South Yorkshire","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",3,222,10,20,1,250,13,60,98,102,26,175
"Staffordshire","West Midlands","2016-06-01","Jun",2016,"Q2_2016",3,227,28,14,5,147,11,54,88,74,23,172
"Suffolk","East of England","2016-06-01","Jun",2016,"Q2_2016",0,128,2,14,2,54,8,27,34,33,7,108
"Surrey","South East","2016-06-01","Jun",2016,"Q2_2016",0,159,5,17,2,47,8,17,32,29,11,102
"Sussex","South East","2016-06-01","Jun",2016,"Q2_2016",0,230,33,26,8,147,12,41,58,71,26,192
"Thames Valley","Thames and Chiltern","2016-06-01","Jun",2016,"Q2_2016",5,369,40,14,14,227,30,53,105,92,24,254
"Warwickshire","West Midlands","2016-06-01","Jun",2016,"Q2_2016",4,83,9,10,1,78,4,11,16,23,2,106
"West Mercia","West Midlands","2016-06-01","Jun",2016,"Q2_2016",2,220,22,19,8,148,21,30,59,57,16,221
"West Midlands","West Midlands","2016-06-01","Jun",2016,"Q2_2016",10,773,62,61,37,683,72,112,294,317,71,401
"West Yorkshire","Yorkshire and Humberside","2016-06-01","Jun",2016,"Q2_2016",2,452,47,61,20,296,28,112,175,168,43,243
"Wiltshire","Oxfordshire","2016-06-01","Jun",2016,"Q2_2016",2,116,10,8,4,92,8,21,29,36,10,77
"Avon and Somerset","South West","2016-07-01","Jul",2016,"Q3_2016",3,305,48,35,7,186,13,51,98,73,8,203
"Bedfordshire","Thames and Chiltern","2016-07-01","Jul",2016,"Q3_2016",3,83,7,22,3,41,6,16,31,16,4,76
"Cambridgeshire","East of England","2016-07-01","Jul",2016,"Q3_2016",0,138,10,15,4,85,3,29,36,28,7,84
"Cheshire","Mersey-Cheshire","2016-07-01","Jul",2016,"Q3_2016",2,275,21,14,1,151,15,40,101,95,14,201
"Cleveland","North East","2016-07-01","Jul",2016,"Q3_2016",1,148,11,39,5,210,11,40,75,46,14,85
"Cumbria","North West","2016-07-01","Jul",2016,"Q3_2016",0,96,5,9,1,64,7,25,34,25,4,74
"Derbyshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,178,4,14,7,117,12,45,48,49,12,116
"Devon and Cornwall","South West","2016-07-01","Jul",2016,"Q3_2016",2,221,16,20,4,112,18,37,52,51,5,189
"Dorset","Oxfordshire","2016-07-01","Jul",2016,"Q3_2016",1,130,10,9,0,77,8,24,42,48,6,66
"Durham","North East","2016-07-01","Jul",2016,"Q3_2016",0,104,6,15,3,87,12,21,18,23,11,104
"Dyfed Powys","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",0,65,5,4,0,31,3,15,36,34,2,77
"Essex","East of England","2016-07-01","Jul",2016,"Q3_2016",7,303,45,31,11,157,26,41,77,54,10,195
"Gloucestershire","South West","2016-07-01","Jul",2016,"Q3_2016",1,86,1,16,4,48,9,12,35,25,2,57
"GreaterManchester","North West","2016-07-01","Jul",2016,"Q3_2016",3,566,92,58,19,248,41,80,127,162,52,325
"Gwent","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",1,81,7,10,5,79,6,18,33,35,3,92
"Hampshire","Oxfordshire","2016-07-01","Jul",2016,"Q3_2016",2,270,30,31,6,176,33,43,65,63,14,190
"Hertfordshire","Thames and Chiltern","2016-07-01","Jul",2016,"Q3_2016",1,181,15,22,2,145,31,34,80,40,8,133
"Humberside","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",1,160,28,32,6,140,7,48,51,63,9,115
"Kent","South East","2016-07-01","Jul",2016,"Q3_2016",8,266,20,32,8,172,39,40,90,45,28,165
"Lancashire","North West","2016-07-01","Jul",2016,"Q3_2016",2,230,18,40,12,186,30,53,76,99,18,201
"Leicestershire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",1,135,26,19,2,104,11,31,36,55,8,119
"Lincolnshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,136,4,12,2,97,9,31,37,52,18,134
"Merseyside","Mersey-Cheshire","2016-07-01","Jul",2016,"Q3_2016",1,325,30,22,10,200,25,41,164,96,18,212
"Metropolitan and City","Greater London","2016-07-01","Jul",2016,"Q3_2016",21,1804,143,195,92,1022,283,240,1075,518,106,919
"Norfolk","East of England","2016-07-01","Jul",2016,"Q3_2016",0,154,13,20,6,116,9,40,44,69,16,98
"Northamptonshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",0,122,7,6,1,90,4,20,33,24,11,111
"Northumbria","North East","2016-07-01","Jul",2016,"Q3_2016",6,295,41,52,2,304,24,77,98,158,20,198
"North Wales","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",1,144,24,19,0,112,12,29,42,45,9,121
"North Yorkshire","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",2,101,10,18,2,114,4,28,63,62,12,98
"Nottinghamshire","East Midlands","2016-07-01","Jul",2016,"Q3_2016",5,225,37,23,16,189,22,46,132,55,15,175
"South Wales","Cymru/Wales","2016-07-01","Jul",2016,"Q3_2016",3,332,28,36,9,252,19,59,201,129,19,268
"South Yorkshire","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",4,213,13,25,13,226,23,60,127,87,18,174
"Staffordshire","West Midlands","2016-07-01","Jul",2016,"Q3_2016",1,215,23,30,5,147,6,48,65,94,13,162
"Suffolk","East of England","2016-07-01","Jul",2016,"Q3_2016",1,114,7,3,2,67,9,25,39,38,6,94
"Surrey","South East","2016-07-01","Jul",2016,"Q3_2016",1,115,27,9,6,50,5,17,37,23,1,123
"Sussex","South East","2016-07-01","Jul",2016,"Q3_2016",1,224,21,18,3,146,16,38,90,56,12,184
"Thames Valley","Thames and Chiltern","2016-07-01","Jul",2016,"Q3_2016",2,351,40,23,7,210,24,40,124,90,22,228
"Warwickshire","West Midlands","2016-07-01","Jul",2016,"Q3_2016",1,60,8,9,2,47,11,8,19,23,5,94
"West Mercia","West Midlands","2016-07-01","Jul",2016,"Q3_2016",0,199,19,18,1,167,11,35,82,68,13,182
"West Midlands","West Midlands","2016-07-01","Jul",2016,"Q3_2016",5,655,83,67,39,548,67,96,243,249,75,349
"West Yorkshire","Yorkshire and Humberside","2016-07-01","Jul",2016,"Q3_2016",7,475,65,56,19,345,27,89,131,135,46,298
"Wiltshire","Oxfordshire","2016-07-01","Jul",2016,"Q3_2016",0,114,16,11,1,91,10,21,36,45,3,61
"Avon and Somerset","South West","2016-08-01","Aug",2016,"Q3_2016",0,272,49,46,6,154,16,58,78,84,8,141
"Bedfordshire","Thames and Chiltern","2016-08-01","Aug",2016,"Q3_2016",0,99,6,7,10,60,4,13,33,24,7,83
"Cambridgeshire","East of England","2016-08-01","Aug",2016,"Q3_2016",1,125,7,7,4,95,15,21,38,34,6,73
"Cheshire","Mersey-Cheshire","2016-08-01","Aug",2016,"Q3_2016",2,264,23,18,1,173,17,51,74,108,16,208
"Cleveland","North East","2016-08-01","Aug",2016,"Q3_2016",0,116,8,38,4,200,6,28,81,47,9,65
"Cumbria","North West","2016-08-01","Aug",2016,"Q3_2016",1,102,11,8,0,98,5,24,33,48,4,83
"Derbyshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",1,152,4,10,7,113,7,24,55,64,17,118
"Devon and Cornwall","South West","2016-08-01","Aug",2016,"Q3_2016",0,215,21,21,10,110,21,50,67,61,10,171
"Dorset","Oxfordshire","2016-08-01","Aug",2016,"Q3_2016",4,134,12,16,4,90,2,23,43,40,8,106
"Durham","North East","2016-08-01","Aug",2016,"Q3_2016",0,91,6,8,5,121,19,23,19,35,8,70
"Dyfed Powys","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",0,83,7,4,4,32,7,26,59,22,7,70
"Essex","East of England","2016-08-01","Aug",2016,"Q3_2016",4,272,37,17,11,165,15,59,118,68,10,206
"Gloucestershire","South West","2016-08-01","Aug",2016,"Q3_2016",0,74,3,11,0,48,6,17,27,30,5,67
"GreaterManchester","North West","2016-08-01","Aug",2016,"Q3_2016",3,521,81,61,10,270,23,93,109,154,33,348
"Gwent","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",1,112,6,9,5,74,6,25,41,20,2,75
"Hampshire","Oxfordshire","2016-08-01","Aug",2016,"Q3_2016",4,236,39,28,8,172,21,46,68,88,11,196
"Hertfordshire","Thames and Chiltern","2016-08-01","Aug",2016,"Q3_2016",0,187,17,10,6,161,23,30,91,54,11,112
"Humberside","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",2,155,23,17,11,154,8,46,65,82,7,111
"Kent","South East","2016-08-01","Aug",2016,"Q3_2016",4,265,25,22,12,136,33,34,98,64,25,163
"Lancashire","North West","2016-08-01","Aug",2016,"Q3_2016",2,260,16,43,5,223,19,43,74,127,18,208
"Leicestershire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",2,143,14,11,2,109,5,35,26,32,9,112
"Lincolnshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",2,160,7,27,1,118,9,28,25,75,20,136
"Merseyside","Mersey-Cheshire","2016-08-01","Aug",2016,"Q3_2016",0,301,36,23,13,208,21,74,199,100,28,270
"Metropolitan and City","Greater London","2016-08-01","Aug",2016,"Q3_2016",13,1697,131,179,84,1045,235,244,1029,491,129,973
"Norfolk","East of England","2016-08-01","Aug",2016,"Q3_2016",0,201,23,14,1,135,8,38,68,91,18,120
"Northamptonshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",3,109,7,16,1,64,6,18,25,29,5,88
"Northumbria","North East","2016-08-01","Aug",2016,"Q3_2016",1,287,50,49,6,236,31,66,52,139,19,217
"North Wales","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",0,153,20,17,3,109,14,54,35,63,6,107
"North Yorkshire","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,139,8,16,3,108,7,33,37,58,11,122
"Nottinghamshire","East Midlands","2016-08-01","Aug",2016,"Q3_2016",0,229,54,16,14,136,11,52,115,82,12,167
"South Wales","Cymru/Wales","2016-08-01","Aug",2016,"Q3_2016",3,389,33,40,15,222,18,84,150,121,18,245
"South Yorkshire","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,211,8,26,8,257,9,65,78,97,15,186
"Staffordshire","West Midlands","2016-08-01","Aug",2016,"Q3_2016",3,246,20,31,16,153,9,46,69,61,21,167
"Suffolk","East of England","2016-08-01","Aug",2016,"Q3_2016",0,124,4,13,2,58,4,28,28,38,5,77
"Surrey","South East","2016-08-01","Aug",2016,"Q3_2016",0,118,22,10,2,35,5,12,34,29,2,104
"Sussex","South East","2016-08-01","Aug",2016,"Q3_2016",0,241,25,12,3,128,17,31,111,60,16,190
"Thames Valley","Thames and Chiltern","2016-08-01","Aug",2016,"Q3_2016",2,353,54,38,10,197,37,48,115,118,30,274
"Warwickshire","West Midlands","2016-08-01","Aug",2016,"Q3_2016",0,87,5,5,2,66,4,18,25,23,4,88
"West Mercia","West Midlands","2016-08-01","Aug",2016,"Q3_2016",4,213,33,24,7,176,5,37,74,68,11,209
"West Midlands","West Midlands","2016-08-01","Aug",2016,"Q3_2016",1,655,61,59,39,587,61,109,245,255,66,337
"West Yorkshire","Yorkshire and Humberside","2016-08-01","Aug",2016,"Q3_2016",0,452,61,54,11,282,34,81,156,133,34,262
"Wiltshire","Oxfordshire","2016-08-01","Aug",2016,"Q3_2016",0,100,11,5,1,69,9,20,39,46,6,67
"Avon and Somerset","South West","2016-09-01","Sep",2016,"Q3_2016",2,316,53,32,4,213,18,60,91,89,15,221
"Bedfordshire","Thames and Chiltern","2016-09-01","Sep",2016,"Q3_2016",3,67,11,16,7,55,2,15,33,28,7,86
"Cambridgeshire","East of England","2016-09-01","Sep",2016,"Q3_2016",0,144,9,8,0,96,5,21,24,36,6,71
"Cheshire","Mersey-Cheshire","2016-09-01","Sep",2016,"Q3_2016",0,272,18,17,4,168,14,39,75,88,13,184
"Cleveland","North East","2016-09-01","Sep",2016,"Q3_2016",0,131,10,45,3,176,8,48,68,62,10,88
"Cumbria","North West","2016-09-01","Sep",2016,"Q3_2016",1,101,4,11,0,84,8,23,49,33,5,79
"Derbyshire","East Midlands","2016-09-01","Sep",2016,"Q3_2016",3,164,9,15,8,125,6,30,43,54,15,93
"Devon and Cornwall","South West","2016-09-01","Sep",2016,"Q3_2016",0,212,20,24,6,95,12,28,62,63,5,203
"Dorset","Oxfordshire","2016-09-01","Sep",2016,"Q3_2016",0,156,16,11,0,85,8,38,49,55,8,97
"Durham","North East","2016-09-01","Sep",2016,"Q3_2016",1,107,5,12,3,82,2,19,15,31,8,95
"Dyfed Powys","Cymru/Wales","2016-09-01","Sep",2016,"Q3_2016",2,85,5,3,1,40,9,11,51,34,7,88
"Essex","East of England","2016-09-01","Sep",2016,"Q3_2016",1,258,50,26,6,133,20,48,91,50,12,181
"Gloucestershire","South West","2016-09-01","Sep",2016,"Q3_2016",0,75,1,7,0,54,8,16,26,18,2,59
